    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 21572 Sekunden (5.99 h)
VmRSS Start: 2104 kB

[ 3060.0s]     16020248 Runden |    5286/s (Ø    5235/s) | Fehler 0 | Tamper 0/3912 | RSS 2104 kB
[ 3120.0s]     16323946 Runden |    5062/s (Ø    5232/s) | Fehler 0 | Tamper 0/3986 | RSS 2104 kB
[ 3180.0s]     16636002 Runden |    5201/s (Ø    5231/s) | Fehler 0 | Tamper 0/4062 | RSS 2104 kB
[ 3240.0s]     16953355 Runden |    5289/s (Ø    5232/s) | Fehler 0 | Tamper 0/4140 | RSS 2104 kB
[ 3300.0s]     17270949 Runden |    5293/s (Ø    5234/s) | Fehler 0 | Tamper 0/4217 | RSS 2104 kB
[ 3360.0s]     17588585 Runden |    5294/s (Ø    5235/s) | Fehler 0 | Tamper 0/4295 | RSS 2104 kB
[ 3420.0s]     17893441 Runden |    5081/s (Ø    5232/s) | Fehler 0 | Tamper 0/4369 | RSS 2104 kB
[ 3480.0s]     18204395 Runden |    5183/s (Ø    5231/s) | Fehler 0 | Tamper 0/4445 | RSS 2104 kB
[ 3540.0s]     18522054 Runden |    5294/s (Ø    5232/s) | Fehler 0 | Tamper 0/4522 | RSS 2104 kB
[ 3600.0s]     18838278 Runden |    5270/s (Ø    5233/s) | Fehler 0 | Tamper 0/4600 | RSS 2104 kB
[ 3660.0s]     19155442 Runden |    5286/s (Ø    5234/s) | Fehler 0 | Tamper 0/4677 | RSS 2104 kB
[ 3720.0s]     19465882 Runden |    5174/s (Ø    5233/s) | Fehler 0 | Tamper 0/4753 | RSS 2104 kB
[ 3780.0s]     19784432 Runden |    5309/s (Ø    5234/s) | Fehler 0 | Tamper 0/4831 | RSS 2104 kB
[ 3840.0s]     20100494 Runden |    5268/s (Ø    5234/s) | Fehler 0 | Tamper 0/4908 | RSS 2104 kB
[ 3900.0s]     20416049 Runden |    5259/s (Ø    5235/s) | Fehler 0 | Tamper 0/4985 | RSS 2104 kB
[ 3960.0s]     20730826 Runden |    5246/s (Ø    5235/s) | Fehler 0 | Tamper 0/5062 | RSS 2104 kB
[ 4020.0s]     21044951 Runden |    5235/s (Ø    5235/s) | Fehler 0 | Tamper 0/5138 | RSS 2104 kB
[ 4080.0s]     21361071 Runden |    5269/s (Ø    5236/s) | Fehler 0 | Tamper 0/5216 | RSS 2104 kB
[ 4140.0s]     21679247 Runden |    5303/s (Ø    5237/s) | Fehler 0 | Tamper 0/5293 | RSS 2104 kB
[ 4200.0s]     21997118 Runden |    5298/s (Ø    5237/s) | Fehler 0 | Tamper 0/5371 | RSS 2104 kB
